Aéroport Orly Ouest,Orly,48.7296445,2.3600059,83347724
Aéroport CDG Terminal 2 TGV,Tremblay-en-France,49.0040395,2.5711302,225119209
Funiculaire Gare Haute,Paris,48.8856581,2.3425549,3417692499
Porte des Lilas,Paris,48.8771276,2.4066804,264690368
GARE DE GARGES SARCELLES,Garges-lès-Gonesse,48.9766899,2.3906474,281747472
MAGENTA,Paris,48.8800561,2.3581041,329974472
GARE DE COLOMBES,Colombes,48.9236659,2.259601,91751890
GARE DE CONFLANS STE HONORINE,Conflans-Sainte-Honorine,48.9965922,2.0977217,415577799
PONT DE BONDY,Noisy-le-Sec,48.9046948,2.469892,2285335319
Robert Wagner,Vélizy-Villacoublay,48.7850087,2.1788055,1724286162
GARE DE BLANC MESNIL,Le Blanc-Mesnil,48.9323764,2.4773723,331997723
NATION,Paris,48.8480576,2.3960523,241928557
LA COURNEUVE 8 MAI 1945,La Courneuve,48.9207587,2.4107677,270244850
MONTEMPOIVRE,Paris,48.8398338,2.4088667,1958615136
CANAL SAINT DENIS,Paris,48.898735,2.3805104,2799009814
ROUGEMONT CHANTELOUP,Sevran,48.9308682,2.5152436,252136683
Gare de Cergy le Haut,Cergy,49.0487859,2.0123707,2320446017
GARE D'ORSAY VILLE,Orsay,48.6976144,2.1817799,117982553
HAUSSMANN ST LAZARE,Paris,48.8747218,2.3271274,329974475
Libération,Bobigny,48.9069335,2.4385726,317494454
FAUBOURG DE L'ARCHE,Courbevoie,48.8967075,2.2400947,2012508325
Issy Val de Seine,Issy-les-Moulineaux,48.829592,2.2629779,255687197
VICTOR BASCH,Colombes,48.9139284,2.2297142,1616972582
PORTE DE MONTREUIL,Paris,48.8534759,2.4105242,256442276
GARE DE NOGENT SUR MARNE,Nogent-sur-Marne,48.8351671,2.4718177,1344112356
GARE DE LA VARENNE CHENNEVIERES,Saint-Maur-des-Fossés,48.794489,2.513307,1354328627
CITE UNIVERSITAIRE,Paris,48.8205877,2.3390071,2656855599
GARE DE GIF SUR YVETTE,Gif-sur-Yvette,48.6981859,2.1367431,117982604
GARE DE MITRY CLAYE,Mitry-Mory,48.9758874,2.642312,3580945699
GARE DE NOGENT LE PERREUX,Nogent-sur-Marne,48.8390089,2.4942347,319204524
BASILIQUE DE SAINT-DENIS,Saint-Denis,48.9380021,2.3608471,317532205
GARE D'ACHERES VILLE,Achères,48.9702027,2.0777351,2320446016
SUZANNE LENGLEN,Paris,48.8332631,2.2770251,318674781
PORTE D'ITALIE,Paris,48.8191044,2.359701,268467559
Gare de l'Abbaye,Livry-Gargan,48.9222088,2.5167223,317555839
COEUR D'ORLY,Orly,48.7290137,2.369914,1868729487
JACQUES HENRI LARTIGUE,Issy-les-Moulineaux,48.8247756,2.2605181,1094878229
GARE DE BAGNEUX,Cachan,48.7932411,2.3210038,3328627275
GARE DE PALAISEAU VILLEBON,Palaiseau,48.7076819,2.237149,117933709
Châtelet,Paris,48.8587782,2.3474106,27371862
HOPITAL AVICENNE,Drancy,48.9158206,2.4249558,2283276577
PETIT NOISY,Noisy-le-Sec,48.9006193,2.4657332,2285335350
Cité Universitaire,Paris,48.8203321,2.3386615,1773529787
PORTE D'AUBERVILLIERS,Paris,48.898598,2.3690499,2799009857
GARE DE LOGNES,Lognes,48.8391017,2.6336867,299463295
JONCHEROLLES,Pierrefitte-sur-Seine,48.9556135,2.3583492,3008852306
JACQUES PREVERT,Pierrefitte-sur-Seine,48.9708739,2.3660268,1616874026
GARE DU VESINET CENTRE,Le Vésinet,48.8900879,2.1345954,1806123617
GARE D'EVRY COURCOURONNES,Évry,48.6259877,2.4289083,292422756
GARE DE CHELLES GOURNAY,Chelles,48.874144,2.5827315,1851623288
Parc des Chanteraines,Gennevilliers,48.9339222,2.3132449,670513810
Pont de Bezons,Bezons,48.9231343,2.2176095,2012508337
GARE DE BOISSY ST LEGER,Boissy-Saint-Léger,48.7530368,2.5052633,1789920402
GARE DE NEUVILLE UNIVERSITE,Neuville-sur-Oise,49.0142697,2.0782873,2320446021
GARE DE NOISY CHAMPS,Noisy-le-Grand,48.8427731,2.5790492,195306266
GARE DE ST CLOUD,Saint-Cloud,48.8461656,2.2176612,1302120644
GUYNEMER,Saint-Denis,48.9481751,2.3574853,1616873805
SOLEIL LEVANT,Clamart,48.7902343,2.2632381,1986410281
GARE DE LYON,Paris,48.8448369,2.3734794,26824135
GARE DE BOURG LA REINE,Bourg-la-Reine,48.7803647,2.3123769,1039322015
GARE DE FONTAINE MICHALON,Antony,48.7435241,2.2965843,1141496059
L'ILE ST DENIS,L'Île-Saint-Denis,48.9357361,2.3394701,1810234531
BRIMBORION,Sèvres,48.8221655,2.2313906,314640918
GEORGES BRASSENS,Paris,48.8298202,2.2956776,1777319430
PORTE DE PANTIN - PARC DE LA VILLETTE,Paris,48.8890047,2.3956842,1088638583
ALCIDE D'ORBIGNY,Pierrefitte-sur-Seine,48.9658507,2.3636194,1616873999
GARE DE POISSY,Poissy,48.9333161,2.0412201,26742679
ROBERT SCHUMAN (PARC SILIC CENTRE),Rungis,48.7460606,2.3532625,1883637791
Louvois,Vélizy-Villacoublay,48.7799876,2.1976772,2954511079
Gare d'Houilles - Carrières sur Seine,Houilles,48.9203471,2.1854282,26742369
GARE DE NEUILLY PLAISANCE,Neuilly-Plaisance,48.8533755,2.5138862,3532759048
GARE DE MASSY PALAISEAU,Massy,48.7259781,2.2582963,3555785349
GARE DE NOISY LE SEC,Noisy-le-Sec,48.8965358,2.4597443,3580701493
GARE DE ROISSY EN BRIE,Roissy-en-Brie,48.7956548,2.6503626,3572309768
GARE DE MONTFORT L'AMAURY MERE,Méré,48.8027385,1.8154817,3580939294
Gare de Cergy St Christophe,Cergy,49.0496017,2.0346919,2320446019
DOMAINE CHERIOUX,Chevilly-Larue,48.7785412,2.3673891,1883637776
GILBERT BONNEMAISON,Épinay-sur-Seine,48.9554364,2.3078706,3349823225
LES BEATUS,Épinay-sur-Seine,48.9517935,2.3198128,2671357379
LES FLANADES,Sarcelles,48.9766078,2.3775631,1616874072
GARE DE BOUFFEMONT MOISSELLES,Bouffémont,49.0454398,2.3228306,2513105223
Gare de Sannois,Sannois,48.9701713,2.263833,2361279397
GARE DE CLICHY LEVALLOIS,Levallois-Perret,48.8970901,2.298139,27233126
DESNOUETTES,Paris,48.8343535,2.2840257,1785131570
Les Lochères,Sarcelles,48.9785164,2.3849846,2055958469
Pavé Blanc,Clamart,48.780813,2.2400852,3515798875
GARE D'ANTONY,Antony,48.7549273,2.3009651,3530835622
GARE DE BONDY,Bondy,48.8940116,2.4805455,475659189
GARE DE GARCHES MARNES LA COQUETTE,Garches,48.8382654,2.1868165,415276337
GARE DE ST GERMAIN EN LAYE GRANDE CEINTURE,Saint-Germain-en-Laye,48.9030262,2.0729746,2315855073
CHEMIN DES RENIERS,Villeneuve-la-Garenne,48.934591,2.3215237,670512940
SIX ROUTES - TRAMWAY,La Courneuve,48.9299836,2.384765,2283276654
JEAN VILAR,Villetaneuse,48.951734,2.3430223,2712192274
GARE DE MARNE LA VALLEE CHESSY,Chessy,48.8702676,2.7829566,269296749
GARE DE LA HACQUINIERE,Bures-sur-Yvette,48.6949696,2.1526331,246806932
GARE DU NORD,Paris,48.8808851,2.3573548,327613695
HENRI FARMAN,Paris,48.8347682,2.270721,591810466
ALEXANDRA DAVID-NEEL,Paris,48.8438315,2.4101599,1958615115
PORTE D'IVRY,Paris,48.8216697,2.3693224,472985884
VELIZY 2,Vélizy-Villacoublay,48.7849806,2.2198845,3611373656
GARE D'ARCUEIL CACHAN,Cachan,48.7986051,2.3281001,100295884
GARE DE JOINVILLE LE PONT,Joinville-le-Pont,48.8210037,2.463862,1851593555
GARE D'OZOIR LA FERRIERE,Ozoir-la-Ferrière,48.7707933,2.690236,2509653764
LA FERME,Bobigny,48.9096771,2.4374886,2283276596
Porte de la Chapelle,Paris,48.8977084,2.3592969,264505930
GARE DE GARGAN,Les Pavillons-sous-Bois,48.9078575,2.5168614,252136190
GARE D'EPINAY SUR SEINE,Épinay-sur-Seine,48.9558012,2.3016789,2671357416
GARE DE CHAMPIGNY,Saint-Maur-des-Fossés,48.8074477,2.5091697,1351396198
GARE DE CONFLANS FIN D OISE,Conflans-Sainte-Honorine,48.9919592,2.0750611,415577923
GARE D'AULNAY SOUS BOIS,Aulnay-sous-Bois,48.9322068,2.4950402,15256281
GARE DE VILLEPARISIS MITRY LE NEUF,Mitry-Mory,48.9530327,2.6025846,3547286137
Bibliothèque François Mitterrand,Paris,48.8297207,2.3770491,3325110405
GARE DE NOISY LE ROI,Noisy-le-Roi,48.8413126,2.0614599,2670874947
PORTE D'ISSY,Issy-les-Moulineaux,48.8318954,2.2810632,318674782
ROSE BERTIN,Épinay-sur-Seine,48.9531223,2.315503,2712192225
CHARLES DE GAULLE ETOILE,Paris,48.8743566,2.2955149,243496033
GARE DE MASSY VERRIERES,Massy,48.7347347,2.2732658,3491814695
GARE DE VERT GALANT,Villepinte,48.9444218,2.5667973,3569510297
GARE DES BACONNETS,Antony,48.7395933,2.287414,201840383
ST MICHEL NOTRE DAME,Paris,48.8534806,2.3454363,3572156993
GARE DE CHENAY GAGNY,Gagny,48.8771405,2.5531493,319209149
GARE DE ST NOM LA BRETECHE FORET DE MARLY,L'Étang-la-Ville,48.8673635,2.0512821,2504456000
LA NOUE,Villeneuve-la-Garenne,48.9349884,2.3271349,764414106
GARE DE FONTENAY AUX ROSES,Fontenay-aux-Roses,48.7876464,2.2922284,166004531
CHARLEBOURG,La Garenne-Colombes,48.9076596,2.238314,1411497615
PARC PIERRE LAGRAVERE,Colombes,48.9178366,2.2243579,1411499325
Porte de Choisy,Paris,48.8201086,2.3647992,472985883
ADRIENNE BOLLAND,Paris,48.8720947,2.4086247,2799009797
INOVEL PARC NORD,Vélizy-Villacoublay,48.7807765,2.207746,2954506761
BLUMENTHAL,Épinay-sur-Seine,48.9474349,2.3409067,2671357389
STADE GEO ANDRE,La Courneuve,48.9243831,2.4020893,2525792394
PORTE D'ORLEANS,Paris,48.8229245,2.3256357,220289379
LES CHOLETTES,Sarcelles,48.9774873,2.3721883,1616874104
