name,osm_id,latitude,longitude,accessible
Sèvres-Babylone,{261162833},48.8514587,2.3267159,False
GARE DE SEVRAN BEAUDOTTES,{3571816329},48.9475609,2.5247252,True
Buttes Chaumont,{243357000},48.8782117,2.3816608,False
Vernouillet - Verneuil-sur-Seine,{3571194893},48.9813713,1.9831325,False
Ourcq,{264772371},48.8869632,2.3867135,False
Massy-TGV,{3530841971},48.7258494,2.261353,False
Sèvres-Lecourbe,{1659843199},48.8456163,2.3095848,False
Moulin-Galant,{248037991},48.5862473,2.4734753,False
Ablon,{3484229324},48.7254534,2.4194543,False
Étampes,{2365866314},48.4369677,2.1594697,False
Javel - André Citroën,{264534424},48.8461892,2.2789975,False
Porte Dorée,{264482297},48.8354584,2.4063451,True
Ranelagh,{260767425},48.8555764,2.2702166,False
Gare de Cergy St Christophe,{2320446019},49.0496017,2.0346919,True
Parc Px,{481046183},49.0100659,2.5706567,True
Miromesnil,{260769652},48.8736768,2.3145456,False
EPINAY - ORGEMONT,{2712192580},48.9554603,2.2954174,True
Aéroport Charles de Gaulle 1,{225119903},49.0097687,2.5612836,False
Pyrénées,{264690372},48.8738469,2.3852526,False
Gare de Sartrouville,{26742372},48.9378067,2.1572739,True
Buzenval,{243486950},48.8518166,2.4013757,False
PYRAMIDES,{264494507},48.8658665,2.3343872,True
Thun-le-Paradis,{3571525910},49.0066957,1.9192196,False
Parc des Chanteraines,{670513810},48.9339222,2.3132449,True
ROUGEMONT CHANTELOUP,{252136683},48.9308682,2.5152436,True
Trilport,{3571632593},48.9602205,2.9495697,False
Pavé Blanc,{3515798875},48.780813,2.2400852,True
JACQUELINE AURIOL,{1915097335},48.9106351,2.2342274,True
Cité,{264514896},48.8552968,2.3475476,False
Ballancourt-sur-Essonne,{247800932},48.5321637,2.3711049,False
Place de Clichy,{243496027},48.8833916,2.3271828,False
Saint-Martin d'Étampes,{3484287066},48.4274675,2.1452675,False
Gazeran,{278482321},48.6259979,1.772002,False
LACEPEDE,{2712192224},48.9558873,2.3114997,True
Notre-Dame des Champs,{263499471},48.8452766,2.3286613,False
Auguste Delaune,{2285335352},48.9066597,2.4605016,True
Cormeilles-en-Parisis,{243844135},48.9683796,2.1936514,False
Porte de Vincennes,{27371900},48.8472979,2.408263,True
Marles-en-Brie,{1081912920},48.734481,2.8682533,False
GARE DE DRANCY,{331850678},48.9327015,2.4545327,True
GARE DE NEUILLY PLAISANCE,{3532759048},48.8533755,2.5138862,True
Solférino,{263497272},48.8586775,2.3231168,False
Pont Petit,{415558310},49.060385,2.1306548,False
GARE DE PARC DE SCEAUX,{3523946654},48.7704401,2.3101604,True
Gaîté,{264704365},48.8385876,2.3222085,False
Deuil - Montmagny,{2515585656},48.97593,2.3382926,False
Simplon,{264505993},48.8938084,2.3477393,False
